time,step,voltage,current,chgAh,disAh
124137,10,2.85689,-0.0,0.0,0
124138,10,2.87354,-9.99523,0.0025,0
124139,10,2.87532,-9.99523,0.00528,0
124140,10,2.87742,-9.99523,0.00806,0
124141,10,2.87903,-9.99523,0.01083,0
124142,10,2.88033,-9.99523,0.01361,0
124143,10,2.88146,-9.99523,0.01639,0
124144,10,2.88275,-9.99523,0.01916,0
124145,10,2.88372,-9.99523,0.02194,0
124146,10,2.88469,-9.99523,0.02472,0
124147,10,2.88598,-9.99523,0.0275,0
124148,10,2.88695,-10.00158,0.03027,0
124149,10,2.88809,-10.00158,0.03305,0
124150,10,2.88889,-10.00158,0.03583,0
124151,10,2.89003,-10.00158,0.03861,0
124152,10,2.89067,-10.00158,0.04138,0
124153,10,2.89164,-10.00158,0.04416,0
124154,10,2.89261,-10.00158,0.04694,0
124155,10,2.89358,-10.00158,0.04972,0
124156,10,2.89455,-10.00158,0.05249,0
124157,10,2.89504,-10.00158,0.05528,0
124158,10,2.89584,-10.00158,0.05805,0
124159,10,2.89681,-10.00158,0.06083,0
124160,10,2.89746,-10.00158,0.06361,0
124161,10,2.89811,-10.00158,0.06639,0
124162,10,2.89908,-10.00158,0.06916,0
124163,10,2.89988,-9.99523,0.07194,0
124164,10,2.90053,-10.00158,0.07472,0
124165,10,2.90134,-10.00158,0.07749,0
124166,10,2.90199,-10.00158,0.08028,0
124167,10,2.90279,-10.00158,0.08305,0
124168,10,2.9036,-10.00158,0.08583,0
124169,10,2.90425,-10.00158,0.08861,0
124170,10,2.90522,-10.00158,0.09139,0
124171,10,2.90587,-10.00158,0.09416,0
124172,10,2.90651,-9.99523,0.09694,0
124173,10,2.907,-9.99523,0.09972,0
124174,10,2.90764,-9.99523,0.1025,0
124175,10,2.90813,-9.99523,0.10527,0
124176,10,2.90861,-9.99523,0.10805,0
124177,10,2.90942,-9.99523,0.11083,0
124178,10,2.90991,-10.00158,0.1136,0
124179,10,2.91039,-9.99523,0.11638,0
124180,10,2.91104,-9.99523,0.11916,0
124181,10,2.91201,-9.99523,0.12193,0
124182,10,2.91249,-10.00158,0.12472,0
124183,10,2.91298,-9.99523,0.12749,0
124184,10,2.91362,-9.99523,0.13027,0
124185,10,2.91427,-9.99523,0.13305,0
124186,10,2.91492,-9.99523,0.13583,0
124187,10,2.9154,-10.00158,0.13861,0
124188,10,2.91621,-9.99523,0.14138,0
124189,10,2.91702,-9.99523,0.14416,0
124190,10,2.9175,-10.00158,0.14694,0
