Step,Current,VCell1,AhCha,AhDch
2.0,0.0,3.33743,0.0,0.0
4.0,0.0,3.33775,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33727,0.0,0.0
5.0,0.0,3.33775,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33727,0.0,0.0
5.0,0.0,3.33743,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33743,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33791,0.0,0.0
5.0,0.0,3.33775,0.0,0.0
5.0,0.0,3.33775,0.0,0.0
5.0,0.0,3.33743,0.0,0.0
5.0,0.0,3.33727,0.0,0.0
5.0,0.0,3.33743,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33743,0.0,0.0
5.0,0.0,3.33775,0.0,0.0
5.0,0.0,3.33791,0.0,0.0
5.0,0.0,3.33791,0.0,0.0
5.0,0.0,3.33791,0.0,0.0
5.0,0.0,3.33775,0.0,0.0
5.0,0.0,3.33775,0.0,0.0
5.0,0.0,3.33743,0.0,0.0
5.0,0.0,3.33775,0.0,0.0
5.0,0.0,3.33775,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33743,0.0,0.0
5.0,0.0,3.33743,0.0,0.0
5.0,0.0,3.33743,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33743,0.0,0.0
5.0,0.0,3.33743,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33743,0.0,0.0
5.0,0.0,3.33743,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33808,0.0,0.0
5.0,0.0,3.33775,0.0,0.0
5.0,0.0,3.33791,0.0,0.0
5.0,0.0,3.33775,0.0,0.0
5.0,0.0,3.33775,0.0,0.0
5.0,0.0,3.33775,0.0,0.0
5.0,0.0,3.33775,0.0,0.0
5.0,0.0,3.33808,0.0,0.0
5.0,0.0,3.33791,0.0,0.0
5.0,0.0,3.33808,0.0,0.0
5.0,0.0,3.33791,0.0,0.0
5.0,0.0,3.33775,0.0,0.0
5.0,0.0,3.33791,0.0,0.0
5.0,0.0,3.33775,0.0,0.0
5.0,0.0,3.33791,0.0,0.0
5.0,0.0,3.33824,0.0,0.0
5.0,0.0,3.33808,0.0,0.0
5.0,0.0,3.33759,0.0,0.0
5.0,0.0,3.33808,0.0,0.0
5.0,0.0,3.33775,0.0,0.0
5.0,0.0,3.33775,0.0,0.0
5.0,0.0,3.33791,0.0,0.0
5.0,0.0,3.33824,0.0,0.0
5.0,0.0,3.33808,0.0,0.0
5.0,0.0,3.33824,0.0,0.0
5.0,0.0,3.33808,0.0,0.0
5.0,0.0,3.3384,0.0,0.0
5.0,0.0,3.33791,0.0,0.0
5.0,0.0,3.33791,0.0,0.0
5.0,0.0,3.33808,0.0,0.0
5.0,0.0,3.33824,0.0,0.0
5.0,0.0,3.33791,0.0,0.0
5.0,0.0,3.33856,0.0,0.0
5.0,0.0,3.33808,0.0,0.0
5.0,0.0,3.33808,0.0,0.0
5.0,0.0,3.3384,0.0,0.0
5.0,0.0,3.33808,0.0,0.0
5.0,0.0,3.33791,0.0,0.0
5.0,0.0,3.33824,0.0,0.0
5.0,0.0,3.33791,0.0,0.0
5.0,0.0,3.33824,0.0,0.0
5.0,0.0,3.33808,0.0,0.0
5.0,0.0,3.33808,0.0,0.0
5.0,0.0,3.33824,0.0,0.0
5.0,0.0,3.3384,0.0,0.0
5.0,0.0,3.33808,0.0,0.0
5.0,0.0,3.33808,0.0,0.0
5.0,0.0,3.33856,0.0,0.0
5.0,0.0,3.33856,0.0,0.0
5.0,0.0,3.33824,0.0,0.0
5.0,0.0,3.3384,0.0,0.0
5.0,0.0,3.33824,0.0,0.0
5.0,0.0,3.33791,0.0,0.0
5.0,0.0,3.33824,0.0,0.0
5.0,0.0,3.33856,0.0,0.0
5.0,0.0,3.3384,0.0,0.0
5.0,0.0,3.33824,0.0,0.0
5.0,0.0,3.3384,0.0,0.0
5.0,0.0,3.3384,0.0,0.0
5.0,0.0,3.33856,0.0,0.0
5.0,0.0,3.33856,0.0,0.0
5.0,0.0,3.33824,0.0,0.0
5.0,0.0,3.33856,0.0,0.0
5.0,0.0,3.33856,0.0,0.0
5.0,0.0,3.3384,0.0,0.0
5.0,0.0,3.3384,0.0,0.0
5.0,0.0,3.33824,0.0,0.0
5.0,0.0,3.3384,0.0,0.0
5.0,0.0,3.33856,0.0,0.0
5.0,0.0,3.33856,0.0,0.0
5.0,0.0,3.33808,0.0,0.0
5.0,0.0,3.3384,0.0,0.0
5.0,0.0,3.3384,0.0,0.0
5.0,0.0,3.33872,0.0,0.0
5.0,0.0,3.3384,0.0,0.0
5.0,0.0,3.33856,0.0,0.0
5.0,0.0,3.3384,0.0,0.0
5.0,0.0,3.33856,0.0,0.0
5.0,0.0,3.3384,0.0,0.0
5.0,0.0,3.33872,0.0,0.0
5.0,0.0,3.33856,0.0,0.0
5.0,0.0,3.33872,0.0,0.0
5.0,0.0,3.3384,0.0,0.0
5.0,0.0,3.33856,0.0,0.0
