Step,Current,VCell1,AhCha,AhDch
2.0,0.0,3.45833,0.0,0.0
4.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45769,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45769,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45769,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45769,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45752,0.0,0.0
5.0,0.0,3.45752,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45833,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45833,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45769,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45833,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45769,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45833,0.0,0.0
5.0,0.0,3.45833,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45833,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45785,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45817,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
5.0,0.0,3.45801,0.0,0.0
